"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
240, 1.246300000000000e-01, -5.047100000000000e-02, 1.123290087135696e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.355982383100710e+05, 0.000000000000000e+00, 9.423929532402838e+04, 2.922607194160449e+02, 0.000000000000000e+00, -2.517023649640008e-01, 1.809063751455131e-05, 3.770625490034577e-03, -4.809652327522915e-04, -2.506201990541450e+03, 6.365989369089130e+00, 0.000000000000000e+00
241, 1.325720000000000e-01, -5.146600000000000e-02, 1.121677339931447e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.353311324636980e+05, 0.000000000000000e+00, 9.413245298547919e+04, 2.923491092904450e+02, 0.000000000000000e+00, -2.554976782773415e-01, 1.809487291097655e-05, 3.814463051686757e-03, -4.599380202985914e-04, -2.645946835470563e+03, 6.428016129901041e+00, 0.000000000000000e+00
362, 1.409100000000000e-01, -5.243400000000000e-02, 1.118584275142655e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.346369892952303e+05, 0.000000000000000e+00, 9.385479571809211e+04, 2.922927910337937e+02, 0.000000000000000e+00, -2.653607750400058e-01, 1.809217436857749e-05, 3.783745728073276e-03, -4.217431237030652e-04, -2.657203672703780e+03, 6.426915112317670e+00, 0.000000000000000e+00
483, 1.496810000000000e-01, -5.337300000000000e-02, 1.115790310993361e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.340428415649887e+05, 0.000000000000000e+00, 9.361713662599544e+04, 2.922827017119449e+02, 0.000000000000000e+00, -2.738030342466001e-01, 1.809169090268380e-05, 3.755894466586215e-03, -3.849844022448579e-04, -2.643776775072667e+03, 6.431136460592064e+00, 0.000000000000000e+00
604, 1.589000000000000e-01, -5.427800000000000e-02, 1.113293278787584e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.335099101167147e+05, 0.000000000000000e+00, 9.340396404668585e+04, 2.922712292576905e+02, 0.000000000000000e+00, -2.813754698491805e-01, 1.809114114926880e-05, 3.721076788119100e-03, -3.488878448088398e-04, -2.625857279140711e+03, 6.428593728897038e+00, 0.000000000000000e+00
725, 1.685910000000000e-01, -5.514600000000000e-02, 1.111025219708389e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.330260467082129e+05, 0.000000000000000e+00, 9.321041868328513e+04, 2.922610139933790e+02, 0.000000000000000e+00, -2.882506965095550e-01, 1.809065163090333e-05, 3.697577451108366e-03, -3.147389242839135e-04, -2.650424692143227e+03, 6.434129098423240e+00, 0.000000000000000e+00
846, 1.787660000000000e-01, -5.596900000000000e-02, 1.108959704190950e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.325844455588754e+05, 0.000000000000000e+00, 9.303377822355012e+04, 2.922504834307421e+02, 0.000000000000000e+00, -2.945254177259783e-01, 1.809014699470413e-05, 3.657715379271788e-03, -2.800282267080143e-04, -2.631225404369772e+03, 6.430672561175474e+00, 0.000000000000000e+00
967, 1.894640000000000e-01, -5.674400000000000e-02, 1.107134581900812e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.321971123528958e+05, 0.000000000000000e+00, 9.287884494115828e+04, 2.922447612038449e+02, 0.000000000000000e+00, -3.000290444466776e-01, 1.808987277558554e-05, 3.630885811125874e-03, -2.471690915562150e-04, -2.631232576002555e+03, 6.433170615467596e+00, 0.000000000000000e+00
1088, 2.006980000000000e-01, -5.746200000000000e-02, 1.105586295927218e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.318683941190383e+05, 0.000000000000000e+00, 9.274735764761531e+04, 2.922397205774622e+02, 0.000000000000000e+00, -3.046998096367247e-01, 1.808963121780762e-05, 3.591002987442863e-03, -2.139950999027369e-04, -2.609620096302911e+03, 6.428805762055775e+00, 0.000000000000000e+00
1209, 2.125040000000000e-01, -5.811700000000000e-02, 1.104330168573368e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.316035676043373e+05, 0.000000000000000e+00, 9.264142704173489e+04, 2.922379717299739e+02, 0.000000000000000e+00, -3.084627358722180e-01, 1.808954740876274e-05, 3.554570901184033e-03, -1.818187322094715e-04, -2.594542059262114e+03, 6.426613204765784e+00, 0.000000000000000e+00
1330, 2.249010000000000e-01, -5.870000000000000e-02, 1.103446323422650e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.314167614061664e+05, 0.000000000000000e+00, 9.256670456246653e+04, 2.922361489395707e+02, 0.000000000000000e+00, -3.111170695776006e-01, 1.808946005593495e-05, 3.510758885942474e-03, -1.499816746049937e-04, -2.572287435007137e+03, 6.417536849132738e+00, 0.000000000000000e+00
1451, 2.379250000000000e-01, -5.920300000000000e-02, 1.102895590262229e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.313034972405238e+05, 0.000000000000000e+00, 9.252139889620950e+04, 2.922389747456389e+02, 0.000000000000000e+00, -3.127264427965883e-01, 1.808959547575386e-05, 3.466787691731313e-03, -1.189310335053324e-04, -2.537885689064283e+03, 6.410084670003038e+00, 0.000000000000000e+00
1572, 2.516020000000000e-01, -5.961600000000000e-02, 1.102727606183171e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.312659395815175e+05, 0.000000000000000e+00, 9.250637583260697e+04, 2.922360337673209e+02, 0.000000000000000e+00, -3.132601004651877e-01, 1.808945453657419e-05, 3.417416463241547e-03, -8.847916808649387e-05, -2.505959868070320e+03, 6.397362290520982e+00, 0.000000000000000e+00
1693, 2.659660000000000e-01, -5.992900000000000e-02, 1.103009307642367e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.313315573647700e+05, 0.000000000000000e+00, 9.253262294590798e+04, 2.922442944058448e+02, 0.000000000000000e+00, -3.123277358249077e-01, 1.808985040569479e-05, 3.364606680431491e-03, -5.895602577773078e-05, -2.457477022850627e+03, 6.381049442501697e+00, 0.000000000000000e+00
1814, 2.810500000000000e-01, -6.013200000000000e-02, 1.103741450784153e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.314928507027500e+05, 0.000000000000000e+00, 9.259714028109999e+04, 2.922540693407641e+02, 0.000000000000000e+00, -3.100359149557608e-01, 1.809031883646114e-05, 3.306608683088331e-03, -3.047417781270700e-05, -2.411516341419309e+03, 6.362545739310340e+00, 0.000000000000000e+00
1935, 2.968900000000000e-01, -6.021400000000000e-02, 1.104983605332771e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.317687764664477e+05, 0.000000000000000e+00, 9.270751058657907e+04, 2.922734932500946e+02, 0.000000000000000e+00, -3.061152792277307e-01, 1.809124963930903e-05, 3.242475497808527e-03, -3.295401645448056e-06, -2.342146226599056e+03, 6.335253853427735e+00, 0.000000000000000e+00
2056, 3.135200000000000e-01, -6.016500000000000e-02, 1.106763514962102e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.321530018942437e+05, 0.000000000000000e+00, 9.286120075769747e+04, 2.922872064043955e+02, 0.000000000000000e+00, -3.006558110010338e-01, 1.809190676210834e-05, 3.179095375074837e-03, 2.247270657885932e-05, -2.281215872633597e+03, 6.310020354483394e+00, 0.000000000000000e+00
2177, 3.309830000000000e-01, -5.997300000000000e-02, 1.109043603738668e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.326474831578942e+05, 0.000000000000000e+00, 9.305899326315765e+04, 2.923075775303125e+02, 0.000000000000000e+00, -2.936297149847395e-01, 1.809288290181365e-05, 3.111189064784245e-03, 4.667435473639127e-05, -2.217050738473673e+03, 6.282173652252037e+00, 0.000000000000000e+00
2298, 3.493150000000000e-01, -5.962800000000000e-02, 1.111846663838830e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.332545591341352e+05, 0.000000000000000e+00, 9.330182365365405e+04, 2.923314767430547e+02, 0.000000000000000e+00, -2.850037580237695e-01, 1.809402805783032e-05, 3.043084454132648e-03, 6.907267268161715e-05, -2.144365422501646e+03, 6.249928988140629e+00, 0.000000000000000e+00
2419, 3.685630000000000e-01, -5.912000000000000e-02, 1.115135599699103e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.339654744834851e+05, 0.000000000000000e+00, 9.358618979339401e+04, 2.923576288218739e+02, 0.000000000000000e+00, -2.749023449447075e-01, 1.809528111050114e-05, 2.971406151830632e-03, 8.947659202004412e-05, -2.069421408096532e+03, 6.216413791649414e+00, 0.000000000000000e+00
2540, 3.887670000000000e-01, -5.844000000000000e-02, 1.118842147930269e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.347751863234242e+05, 0.000000000000000e+00, 9.391007452936967e+04, 2.923975384508439e+02, 0.000000000000000e+00, -2.633971301850144e-01, 1.809719323913439e-05, 2.902458302221621e-03, 1.076622889814018e-04, -1.992762593664543e+03, 6.183812509856607e+00, 0.000000000000000e+00
2661, 4.092440000000000e-01, -5.761100000000000e-02, 1.122677618407369e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.356069987440767e+05, 0.000000000000000e+00, 9.424279949763067e+04, 2.924310334449213e+02, 0.000000000000000e+00, -2.515778877492038e-01, 1.809879793595725e-05, 2.836538214318582e-03, 1.237102207705057e-04, -1.930762420370744e+03, 6.151882133500414e+00, 0.000000000000000e+00
2782, 4.297180000000000e-01, -5.665400000000000e-02, 1.126633838934295e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.364644125040663e+05, 0.000000000000000e+00, 9.458576500162648e+04, 2.924646190232454e+02, 0.000000000000000e+00, -2.393948752748686e-01, 1.810040688341334e-05, 2.771106076157995e-03, 1.372116182517590e-04, -1.858265384360394e+03, 6.120741685633223e+00, 0.000000000000000e+00
2903, 4.501810000000000e-01, -5.558400000000000e-02, 1.130638596734891e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.373321569491934e+05, 0.000000000000000e+00, 9.493286277967732e+04, 2.924981448556693e+02, 0.000000000000000e+00, -2.270650738501195e-01, 1.810201287969049e-05, 2.712753029451290e-03, 1.487457006252581e-04, -1.797795398318945e+03, 6.092877498393658e+00, 0.000000000000000e+00
3024, 4.706430000000000e-01, -5.441000000000000e-02, 1.134598166377706e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.381853999540828e+05, 0.000000000000000e+00, 9.527415998163310e+04, 2.925252749953325e+02, 0.000000000000000e+00, -2.149413237340330e-01, 1.810331243642500e-05, 2.654869237160618e-03, 1.583863478323652e-04, -1.742587953099382e+03, 6.065120981632563e+00, 0.000000000000000e+00
3145, 4.910970000000000e-01, -5.314300000000000e-02, 1.138496019775833e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.390268316298735e+05, 0.000000000000000e+00, 9.561073265194939e+04, 2.925536189572874e+02, 0.000000000000000e+00, -2.029854010735612e-01, 1.810467007409887e-05, 2.603743270044313e-03, 1.667760455582857e-04, -1.691303037707483e+03, 6.043810762845646e+00, 0.000000000000000e+00
3266, 5.115470000000000e-01, -5.179000000000000e-02, 1.142319458517664e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.398473940796041e+05, 0.000000000000000e+00, 9.593895763184161e+04, 2.925753721818801e+02, 0.000000000000000e+00, -1.913260097417028e-01, 1.810571198122209e-05, 2.552472830635908e-03, 1.737229613025126e-04, -1.640070383378019e+03, 6.017948725407999e+00, 0.000000000000000e+00
3387, 5.319870000000000e-01, -5.036000000000000e-02, 1.146036327421063e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.406465846307297e+05, 0.000000000000000e+00, 9.625863385229188e+04, 2.925982031072594e+02, 0.000000000000000e+00, -1.799702922245804e-01, 1.810680546638430e-05, 2.508235983853703e-03, 1.799661465982418e-04, -1.599245907607040e+03, 6.000199343560990e+00, 0.000000000000000e+00
3508, 5.524250000000001e-01, -4.885700000000000e-02, 1.149649338713833e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.414193485883302e+05, 0.000000000000000e+00, 9.656773943533206e+04, 2.926152906768894e+02, 0.000000000000000e+00, -1.689900708023378e-01, 1.810762384706158e-05, 2.463192379433457e-03, 1.852291736693740e-04, -1.556093164965998e+03, 5.979665232576922e+00, 0.000000000000000e+00
3629, 5.728520000000000e-01, -4.728700000000000e-02, 1.153166335910204e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.421744580101334e+05, 0.000000000000000e+00, 9.686978320405332e+04, 2.926353029806723e+02, 0.000000000000000e+00, -1.582607030984321e-01, 1.810858227365814e-05, 2.424722954059140e-03, 1.902884018093023e-04, -1.520385846146203e+03, 5.964138190006719e+00, 0.000000000000000e+00
3750, 5.932770000000001e-01, -4.565100000000000e-02, 1.156617229622232e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.429133125998728e+05, 0.000000000000000e+00, 9.716532503994909e+04, 2.926523363635993e+02, 0.000000000000000e+00, -1.477623006892791e-01, 1.810939800922967e-05, 2.385492227470807e-03, 1.948198705161239e-04, -1.487962607265610e+03, 5.948517814220044e+00, 0.000000000000000e+00
3871, 6.137000000000000e-01, -4.395100000000000e-02, 1.160041976854214e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.436472194669487e+05, 0.000000000000000e+00, 9.745888778677945e+04, 2.926699217313993e+02, 0.000000000000000e+00, -1.373342005889320e-01, 1.811024015551684e-05, 2.348674323444658e-03, 1.991308624829294e-04, -1.452768503732648e+03, 5.931805247626474e+00, 0.000000000000000e+00
3992, 6.341100000000000e-01, -4.218900000000000e-02, 1.163470689892248e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.443779380956949e+05, 0.000000000000000e+00, 9.775117523827795e+04, 2.926825874800440e+02, 0.000000000000000e+00, -1.269514022427131e-01, 1.811084669084876e-05, 2.309905377547316e-03, 2.029280649669199e-04, -1.415829143334117e+03, 5.912490950449141e+00, 0.000000000000000e+00
4113, 6.545190000000000e-01, -4.036500000000000e-02, 1.166921825562045e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.451159537786597e+05, 0.000000000000000e+00, 9.804638151146387e+04, 2.926982681720610e+02, 0.000000000000000e+00, -1.164649198798399e-01, 1.811159758773702e-05, 2.272497844283833e-03, 2.065805890986215e-04, -1.382587126973098e+03, 5.894682306290205e+00, 0.000000000000000e+00
4234, 6.749220000000000e-01, -3.847900000000000e-02, 1.170444334472109e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.458720919036753e+05, 0.000000000000000e+00, 9.834883676147011e+04, 2.927175820827742e+02, 0.000000000000000e+00, -1.057209353075630e-01, 1.811252244083770e-05, 2.235308007297239e-03, 2.101285961365075e-04, -1.346658001898461e+03, 5.873610055991985e+00, 0.000000000000000e+00
4355, 6.953150000000000e-01, -3.653000000000000e-02, 1.174116589991803e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.466564076292318e+05, 0.000000000000000e+00, 9.866256305169269e+04, 2.927328857935420e+02, 0.000000000000000e+00, -9.457657454014547e-02, 1.811325524323300e-05, 2.193335644728768e-03, 2.130579798567028e-04, -1.307330637391234e+03, 5.847429915251936e+00, 0.000000000000000e+00
4476, 7.157090000000000e-01, -3.451700000000000e-02, 1.177955642220663e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.474778130264897e+05, 0.000000000000000e+00, 9.899112521059586e+04, 2.927505161155123e+02, 0.000000000000000e+00, -8.290520574685542e-02, 1.811409943006206e-05, 2.150564623200259e-03, 2.156577090510568e-04, -1.265696062322881e+03, 5.817658116488058e+00, 0.000000000000000e+00
4597, 7.360910000000001e-01, -3.244100000000000e-02, 1.181999444968800e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.483434537600536e+05, 0.000000000000000e+00, 9.933738150402142e+04, 2.927694660509785e+02, 0.000000000000000e+00, -7.060529600965854e-02, 1.811500677611637e-05, 2.105948657651999e-03, 2.178335960318169e-04, -1.220762701880745e+03, 5.784460566987789e+00, 0.000000000000000e+00
4718, 7.564680000000000e-01, -3.030100000000000e-02, 1.186282606704481e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.492585227103389e+05, 0.000000000000000e+00, 9.970340908413552e+04, 2.927872702081452e+02, 0.000000000000000e+00, -5.760305956743269e-02, 1.811585923505406e-05, 2.057301159869190e-03, 2.192893026076383e-04, -1.173555841908645e+03, 5.745916632724408e+00, 0.000000000000000e+00
4839, 7.768450000000000e-01, -2.809700000000000e-02, 1.190821285805340e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.502290408681035e+05, 0.000000000000000e+00, 1.000916163472414e+05, 2.928070026256812e+02, 0.000000000000000e+00, -4.381294401953192e-02, 1.811680398939342e-05, 2.005642798058534e-03, 2.200372570154325e-04, -1.120603618204911e+03, 5.699402164408053e+00, 0.000000000000000e+00
4960, 7.972030000000000e-01, -2.583200000000000e-02, 1.195672777769678e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.512682455179029e+05, 0.000000000000000e+00, 1.005072982071611e+05, 2.928300234617220e+02, 0.000000000000000e+00, -2.904686047540080e-02, 1.811790614869887e-05, 1.951108483332601e-03, 2.200483877459293e-04, -1.065267918153429e+03, 5.649213046883545e+00, 0.000000000000000e+00
5081, 8.175610000000000e-01, -2.350500000000000e-02, 1.200882556466538e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.523850569421511e+05, 0.000000000000000e+00, 1.009540227768604e+05, 2.928555359372811e+02, 0.000000000000000e+00, -1.317806043041337e-02, 1.811912755032175e-05, 1.894838863525607e-03, 2.194317878306086e-04, -1.009820847859675e+03, 5.594231760809651e+00, 0.000000000000000e+00
5202, 8.379180000000001e-01, -2.111700000000000e-02, 1.206533513775718e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.535915803591853e+05, 0.000000000000000e+00, 1.014366321436741e+05, 2.928773437415683e+02, 0.000000000000000e+00, 3.965459450215006e-03, 1.812017155123505e-05, 1.828709096764986e-03, 2.170949145111932e-04, -9.448314836506195e+02, 5.522532405727464e+00, 0.000000000000000e+00
5323, 8.582720000000000e-01, -1.867200000000000e-02, 1.212592421059870e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.548960503315213e+05, 0.000000000000000e+00, 1.019584201326085e+05, 2.929129637920018e+02, 0.000000000000000e+00, 2.250070426079571e-02, 1.812187670243268e-05, 1.766724914680584e-03, 2.147340470221341e-04, -8.834151581971900e+02, 5.456189804088980e+00, 0.000000000000000e+00
5444, 8.786030000000000e-01, -1.617200000000000e-02, 1.219272527560961e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.563272393974244e+05, 0.000000000000000e+00, 1.025308957589697e+05, 2.929437983861643e+02, 0.000000000000000e+00, 4.283650368071789e-02, 1.812335269032734e-05, 1.690034043800610e-03, 2.101060498121560e-04, -8.097360233048259e+02, 5.362834535830276e+00, 0.000000000000000e+00
5565, 8.989330000000000e-01, -1.361700000000000e-02, 1.226650080092840e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.579046984654776e+05, 0.000000000000000e+00, 1.031618793861910e+05, 2.929738776618610e+02, 0.000000000000000e+00, 6.525065703426423e-02, 1.812479245036249e-05, 1.606925936488632e-03, 2.041657498253884e-04, -7.336562549450945e+02, 5.258263653101753e+00, 0.000000000000000e+00
5686, 9.192630000000001e-01, -1.100600000000000e-02, 1.235066183830058e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.596980802559337e+05, 0.000000000000000e+00, 1.038792321023735e+05, 2.930008262165166e+02, 0.000000000000000e+00, 9.073286147735425e-02, 1.812608229615627e-05, 1.505464766952066e-03, 1.954778754609383e-04, -6.451890704538724e+02, 5.117626055894442e+00, 0.000000000000000e+00
5807, 9.395890000000000e-01, -8.338000000000000e-03, 1.244637896899298e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.618008075723309e+05, 0.000000000000000e+00, 1.047203230289323e+05, 2.931016735679240e+02, 0.000000000000000e+00, 1.206105638437178e-01, 1.813090867095514e-05, 1.398234171770439e-03, 1.856787810915322e-04, -5.543105411532717e+02, 4.960872073209294e+00, 0.000000000000000e+00
5928, 9.598970000000000e-01, -5.610000000000000e-03, 1.255763950990153e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.644175161422821e+05, 0.000000000000000e+00, 1.057670064569128e+05, 2.934084021049276e+02, 0.000000000000000e+00, 1.577914380459269e-01, 1.814558322197026e-05, 1.327488906126110e-03, 1.806467616049273e-04, -4.966711425249247e+02, 4.862239494529801e+00, 0.000000000000000e+00
6049, 9.801970000000000e-01, -2.812000000000000e-03, 1.265242027813367e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.676300660265124e+05, 0.000000000000000e+00, 1.070520264106049e+05, 2.947485167758825e+02, 0.000000000000000e+00, 2.034386356305324e-01, 1.820961033533074e-05, 1.354569113181188e-03, 1.894903803941467e-04, -5.241986095102387e+02, 4.922746997433260e+00, 0.000000000000000e+00
6170, 1.000000000000000e+00, 0.000000000000000e+00, 1.295710347421802e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.714214602983798e+05, 0.000000000000000e+00, 1.085685841193519e+05, 2.918949573477936e+02, 0.000000000000000e+00, 2.573106468632975e-01, 1.807310463728612e-05, -4.464386767203166e-05, 6.339370595048874e-06, 1.891428038219565e+02, 9.157894490464895e-01, 0.000000000000000e+00
6291, 1.208830000000000e-01, -4.997500000000000e-02, 1.124073291471826e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.357552380396343e+05, 0.000000000000000e+00, 9.430209521585370e+04, 2.922517083308979e+02, 0.000000000000000e+00, -2.494715520787958e-01, 1.809020569372452e-05, 3.726153974304445e-03, -5.020543006085886e-04, -2.407534573426680e+03, 6.297731459670959e+00, 0.000000000000000e+00
6412, 1.169410000000000e-01, -4.943500000000000e-02, 1.125642227283234e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.361580742392353e+05, 0.000000000000000e+00, 9.446322969569408e+04, 2.923430398102341e+02, 0.000000000000000e+00, -2.437476429536235e-01, 1.809458209817647e-05, 3.821597105645223e-03, -5.345686427539410e-04, -2.452553007296284e+03, 6.354573467558741e+00, 0.000000000000000e+00
6533, 1.128190000000000e-01, -4.884700000000000e-02, 1.127950650203646e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.366311807309332e+05, 0.000000000000000e+00, 9.465247229237328e+04, 2.923292069960907e+02, 0.000000000000000e+00, -2.370252615795297e-01, 1.809391930245064e-05, 3.796450752200608e-03, -5.523995927599185e-04, -2.369482919265462e+03, 6.312359948360211e+00, 0.000000000000000e+00
6654, 1.085220000000000e-01, -4.821000000000000e-02, 1.130224106293035e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.371354627478188e+05, 0.000000000000000e+00, 9.485418509912751e+04, 2.923629104503585e+02, 0.000000000000000e+00, -2.298599064278057e-01, 1.809553416827546e-05, 3.840700494355895e-03, -5.821637923543524e-04, -2.372626543681694e+03, 6.327513321134699e+00, 0.000000000000000e+00
6775, 1.040710000000000e-01, -4.752100000000000e-02, 1.132889406273699e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.377034050598623e+05, 0.000000000000000e+00, 9.508136202394489e+04, 2.923736462165710e+02, 0.000000000000000e+00, -2.217900006306180e-01, 1.809604854242579e-05, 3.840090729530240e-03, -6.081169207002892e-04, -2.330489916184379e+03, 6.309179743708069e+00, 0.000000000000000e+00
6896, 9.947300000000001e-02, -4.677700000000000e-02, 1.135747126540037e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.383127247346082e+05, 0.000000000000000e+00, 9.532508989384325e+04, 2.923855611465345e+02, 0.000000000000000e+00, -2.131321629043169e-01, 1.809661940222349e-05, 3.856573354236011e-03, -6.389711348305205e-04, -2.241497541206035e+03, 6.314036182254696e+00, 0.000000000000000e+00
7017, 9.474600000000000e-02, -4.597600000000000e-02, 1.138922326801041e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.389976261346616e+05, 0.000000000000000e+00, 9.559905045386462e+04, 2.924083816941981e+02, 0.000000000000000e+00, -2.034003826484901e-01, 1.809771273299092e-05, 3.879323661177482e-03, -6.740639939459465e-04, -2.245326700505772e+03, 6.315246212838549e+00, 0.000000000000000e+00
7138, 8.993100000000000e-02, -4.511900000000000e-02, 1.142494497617867e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.397568165034187e+05, 0.000000000000000e+00, 9.590272660136748e+04, 2.924200741496441e+02, 0.000000000000000e+00, -1.926130286724163e-01, 1.809827290170912e-05, 3.885504985812349e-03, -7.094365834531854e-04, -2.225679288629213e+03, 6.308806386848471e+00, 0.000000000000000e+00
